competition,race_type,sex,host_nation,country,day,month,year,time,latitude,longitude,NOAA_stationid,station_location,station_distance,air_temp,dew_pt,wind_speed,adj_wind_speed,relative_humidity,clouds,diff_req_time,time_zone,solar_rad,heat_index,simp_wetbulb_globetemp,wetbulb_globetemp,world_record,standing_record,first_place,second_place,third_place,,,,,,,,,,,
Olympic,10k,Men,Munich,Germany,31,8,1972,20:56:34,48.1371079,11.5753822,10971199999,GM; BAD TOLZ USA AF AND,41.2,15.0,6.0,4.6,1.9,54.9,3,25,2,57,14,16.1,11.6,00:27:39,00:28:24,00:27:53,00:27:54,00:28:09,,,,,,,,,,,
Olympic,10k,Men,Montreal,Canada,26,7,1976,20:56:34,45.4972159,-73.610364,72627094792,QC CA; MONTREAL DORVAL INTERNATIONAL AIRPORT,11.4,20.0,16.0,5.1,2.1,77.8,1,25,-4,491,20.1,22.4,20.4,00:27:31,00:27:38,00:27:40,00:27:45,00:27:55,,,,,,,,,,,
Olympic,10k,Men,Moscow,russia,27,7,1980,20:56:34,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,18.0,10.0,4.0,1.7,59.5,3,35,3,467,17.4,19,17,00:27:22,00:27:38,00:27:43,00:27:44,00:27:45,,,,,,,,,,,
Olympic,10k,Men,Seoul,South Korea,3,7,1988,20:56:34,37.5666791,126.978291,47108099999,KS; SEOUL CITY,1.0,21.2,14.6,2.6,1.1,66.0,4,35,9,852,21.1,22.5,23.4,00:27:14,00:27:38,00:27:21,00:27:24,00:27:25,,,,,,,,,,,
Olympic,10k,Men,Barcelona,Spain,3,8,1992,22:15:00,41.3828939,2.1774322,8181099999,SP; BARCELONA,12.6,26.0,24.0,4.1,1.7,88.8,8,10,2,334,27,30.4,26.5,00:27:08,00:27:21,00:27:47,00:27:48,00:28:00,,,,,,,,,,,
Olympic,10k,Men,Atlanta, US,29,7,1996,22:00:00,33.7490987,-84.390184,72219599999,GA US; FULTON CO AIRPORT BROW,11.9,27.0,20.0,1.9,0.8,65.6,4,0,-4,204,28.5,28.4,24.8,00:26:44,00:27:21,00:27:07,00:27:08,00:27:25,,,,,,,,,,,
Olympic,10k,Men, Sydney,Australia,25,9,2000,22:00:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,18.0,13.0,6.1,2.5,72.6,5,0,10,0,17.8,20,15.6,00:26:23,00:27:07,00:27:18,00:27:18,00:27:20,,,,,,,,,,,
Olympic,10k,Men, ATHENS,GREECE,20,8,2004,22:35:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,22.8,13.2,0.0,0.0,54.7,3,85,3,0,22.6,22.8,18,00:26:20,00:27:07,00:27:05,00:27:09,00:27:23,,,,,,,,,,,
Olympic,10k,Men,beijing,CHINA,17,8,2008,22:45:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,20.0,18.0,3.0,1.2,88.3,8,15,8,0,20.4,23.4,18.8,00:26:18,00:27:05,00:27:01,00:27:03,00:27:04,,,,,,,,,,,
Olympic,10k,Men,LONDON,UK,4,8,2012,21:15:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.0,12.0,1.9,0.8,72.4,5,15,1,0,16.6,19.1,14.4,00:26:18,00:27:01,00:27:30,00:27:31,00:27:31,,,,,,,,,,,
